#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chrY	11720925	11724374	351518.0	23476.0
chrY	11745781	11749552	609586.0	26829.0
chr10	126946284	126949389	101876.0	22075.0
chr2	90379563	90403503	6276498.0	204553.0
chr1	122810095	122810306	1782.0	801.0
chr1	122812475	122812926	11378.0	5247.0
chr1	122813929	122821753	153847.0	48950.0
chr1	122822804	122852412	458337.0	163295.0
chr1	122853506	122863783	204335.0	76562.0
chr1	122864529	122892414	456576.0	171716.0
chr1	122892853	122906013	257740.0	83628.0
chr6	862140	864174	8408.0	4106.0
chr13	17113802	17116579	29961.0	17036.0
chr13	17117484	17119711	29542.0	15381.0
chr13	17120015	17120463	2281.0	1094.0
chr13	17127061	17130174	34433.0	16760.0
chr13	17143545	17146577	58059.0	31031.0
chr13	17148027	17148998	26322.0	14845.0
chr13	17150302	17151628	13381.0	6528.0
chr13	17154976	17158374	53061.0	28361.0
chr13	17165759	17168258	44075.0	25284.0
chr13	17172502	17175298	42721.0	22035.0
chr13	17177840	17180742	31548.0	17430.0
chr13	17182715	17184870	28148.0	14885.0
chr1	123806471	123807799	22377.0	6210.0
chr1	123809158	123825290	238916.0	84573.0
chr1	123825520	123828486	47235.0	15762.0
chr1	123828505	123829677	66360.0	31982.0
chr1	123831263	123840597	144479.0	59797.0
chr1	123841497	123841592	934.0	473.0
chr1	123841802	123858444	333172.0	123707.0
chr1	123860084	123865862	117986.0	32760.0
chr1	123865899	123866108	5104.0	2844.0
chr1	123866132	123870135	58277.0	21939.0
chr1	123871257	123876903	132000.0	37493.0
chr1	123878886	123880095	10961.0	5041.0
chr1	123880441	123887992	157487.0	56530.0
chr1	123888371	123895580	127893.0	43267.0
chr1	123899166	123899184	470.0	253.0
chr1	123899405	123904231	69890.0	30956.0
chr12	37235709	37241245	69786.0	35542.0
chr12	37245546	37247397	24192.0	12558.0
chr12	37265351	37266527	17603.0	8791.0
chr1	123124555	123125047	16381.0	4808.0
chr1	123125720	123129029	99778.0	30577.0
chr1	123129822	123133340	85185.0	27597.0
chr1	123133629	123149853	362661.0	112590.0
chr1	123152210	123160608	152777.0	60139.0
chr1	123160742	123179378	337407.0	123933.0
chr1	123183592	123187242	68171.0	23497.0
chr1	123187447	123187650	411.0	248.0
chr1	123187672	123191050	90955.0	35288.0
chr1	123192364	123205196	238755.0	102060.0
chr1	124605973	124606640	19194.0	3490.0
chr1	124610978	124625614	195520.0	70668.0
chr1	124628400	124632935	88395.0	31460.0
chr1	124633056	124633319	3087.0	1728.0
chr1	124634252	124634854	19113.0	5253.0
chr1	124637047	124650716	225561.0	67503.0
chr1	124652110	124665269	195939.0	75148.0
chr1	124666336	124666578	1832.0	924.0
chr1	124668404	124698204	465310.0	150107.0
chr1	124698888	124710105	249008.0	75381.0
chr10	133761259	133765408	586644.0	40815.0
chr15	17079518	17084551	393008.0	80456.0
chr10	42165071	42168883	180900.0	35031.0
chr13	16229235	16235037	541588.0	251657.0
chr13	16235966	16243773	748866.0	344551.0
chr13	16244033	16244112	4985.0	268.0
chr13	16244241	16246123	148373.0	62239.0
chr13	16246474	16246855	44043.0	25923.0
chr13	16249180	16254341	557251.0	312582.0
chr13	16255194	16257054	157616.0	90822.0
chr5	49608846	49619600	243926.0	94393.0
chr5	49620930	49628481	186560.0	69156.0
chr5	49629730	49634740	73589.0	24986.0
chr5	49640989	49647802	155492.0	48395.0
chr5	49655271	49662871	12037479.0	97406.0
chr5	49665173	49668431	4492233.0	25169.0
chr15	19774747	19781046	50081.0	25915.0
chr15	19781268	19782029	6950.0	3808.0
chr9	61855438	61858036	67496.0	18364.0
chr17	23581841	23584984	60161.0	3222.0
chr17	23015136	23017694	43686.0	2182.0
chr17	23067522	23070190	12447.0	6675.0
chrM	0	16569	99430182.0	2857.0
chr6	170397347	170400442	151470.0	49771.0
chr4	49090232	49157664	33729648.0	906722.0
chrX	115727363	115729136	18050.0	7033.0
chrX	115731591	115734123	25147.0	11215.0
chrY	11686804	11691549	482250.0	27439.0
chr1	628087	635923	21879100.0	34333.0
chr1	124112935	124127192	224833.0	88311.0
