#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chr7	159334900	159345900	13246.0	6843.0
chrX	3966700	3968700	3219.0	1719.0
chr5	171083900	171090200	20328.0	10538.0
chrX	19940200	19946300	11550.0	6065.0
chr7	56369500	56375600	795102.0	231489.0
chrX	121263700	121268100	5857.0	2664.0
chrX	121299200	121300600	5176.0	2728.0
chr18	80257400	80373200	64118.0	30688.0
chr14	57112100	57118100	21509.0	10943.0
chr7	224500	241300	93160.0	49562.0
chr11	964100	966000	109484.0	57938.0
chrX	67626800	67632300	19777.0	9687.0
chr12	66473900	66475800	37902.0	20190.0
chrX	106813900	106830900	50227.0	27300.0
chr6	26669200	26832300	2046719.0	1142299.0
chr11	10506900	10511100	3929986.0	16815.0
chr9	64135000	65390600	13193375.0	6928243.0
chrX	56754900	56781100	262555.0	141864.0
chr2	90246300	91735500	15463534.0	4025597.0
chr21	10013900	10069600	1270217.0	501863.0
chr21	10094700	10505100	7360558.0	2655603.0
chr1	236713000	236715600	4848.0	2695.0
chrX	127116700	127122600	14138.0	7138.0
chr6	61661900	61673400	39126.0	21943.0
chr3	122735500	122796600	301732.0	162895.0
chr3	122414300	122417500	25822.0	13766.0
chrX	42872300	42910700	106480.0	59483.0
chrX	70963600	70964900	1603.0	800.0
chrX	107515800	107517200	4244.0	2204.0
chr15	54925700	54932200	21421.0	3324.0
chr3	178926800	178941300	66272.0	36537.0
chrX	125927600	125937100	27903.0	15566.0
chr8	8128200	8204600	1399420.0	727733.0
chr5	1326100	1334600	157565.0	64523.0
chr2	234889800	234894400	8676.0	4451.0
chr2	181274800	181276800	13135.0	7143.0
chr6	1052800	1054800	15299.0	8384.0
chr3	183016900	183019100	66895.0	37633.0
chr3	89345600	89370500	83364.0	45983.0
chrX	138300600	138302200	4335.0	2253.0
chr14	86074000	86076000	11076.0	5326.0
chrX	131664300	131670000	16172.0	8295.0
chr2	4643800	4648800	16464.0	8731.0
chrX	53761700	53789500	106175.0	57330.0
chrX	74789000	74794000	13245.0	6492.0
chr17	22520400	22527300	840625.0	21656.0
chr3	133177100	133179800	6595.0	3567.0
chrX	144404500	144475900	63065.0	34640.0
chrX	74952200	74995200	154936.0	84375.0
chr2	242005900	242011100	66677.0	30215.0
chr6	54961900	54967400	24200.0	12339.0
chr8	141491400	141493500	23629.0	7933.0
chr9	137715200	137722200	169989.0	91955.0
chr13	18211000	18216100	1638756.0	26296.0
chr2	33766500	33768400	113804.0	4364.0
chr22	20337400	20343300	194670.0	38920.0
chr2	132353600	132364500	169931.0	80453.0
chr14	35947200	35950000	54977.0	12294.0
chrX	155299600	155305100	14440.0	7790.0
chr1	168348600	168349900	19398.0	10644.0
chr9	41661300	42119600	5643999.0	3081235.0
chr2	239642200	239645600	110929.0	61201.0
chrX	115725600	115889600	137392.0	61320.0
chrY	10246200	11041200	25871565.0	4000697.0
chr22	18175900	18947300	10532624.0	4102864.0
chrX	118009000	118037800	90935.0	49421.0
chrX	118070900	118072700	4772.0	2579.0
chr2	132201000	132288900	1430448.0	408047.0
chrX	864500	930400	444355.0	215429.0
chr4	77994000	78009600	227847.0	41250.0
chr3	38083400	38085400	29075.0	11793.0
chrX	51202300	51268100	199814.0	110962.0
chrX	109520800	109525700	15479.0	8202.0
chr15	84405300	84524700	2541299.0	1290294.0
chr3	65124100	65126100	5819.0	3057.0
chr12	2254900	2257000	135754.0	9772.0
chr13	109423200	109425200	1181376.0	4792.0
chrX	70600000	70603800	7813.0	4218.0
chrX	70640600	70645000	9989.0	5262.0
chr5	69540700	71359500	32719012.0	16458885.0
chrX	137074700	137079100	12003.0	5995.0
chr14	105215000	105240900	74290.0	39698.0
chrX	132284600	132320400	136111.0	73871.0
chr9	61735300	63548000	22372370.0	11848340.0
chr14	74711700	74729000	89064.0	48396.0
chrX	139437600	139446800	32077.0	17481.0
chrX	113141700	113143600	3330.0	1844.0
chr11	94232700	94240400	68962.0	33851.0
chr3	19624000	19627100	7019.0	3842.0
chr3	195914100	196028300	1296617.0	689676.0
chrX	129337600	129357900	82438.0	44280.0
chrX	129388400	129408400	84416.0	37497.0
chr7	158594300	158596200	45436.0	25324.0
chr3	136954600	136969200	55700.0	29575.0
chr3	69047300	69053600	38776.0	22018.0
chr5	46708100	50165300	31071385.0	3174802.0
chr5	0	44100	258458.0	135155.0
chr3	157080800	157093400	84016.0	45632.0
chr12	2519800	2540500	144651.0	77679.0
chr7	904700	907100	80599.0	15805.0
chr2	49228700	49230700	303038.0	7142.0
chr3	111019500	111024600	12214.0	6416.0
chrX	152173800	152175100	2633.0	887.0
chr21	9159900	9735300	6129810.0	2657397.0
chrX	106755500	106769400	52058.0	28357.0
chr5	2144600	2147800	52269.0	25103.0
chr19	34860600	34866200	30159.0	13163.0
chrX	362400	388500	153534.0	71169.0
chrX	109985900	109987300	4217.0	2382.0
chr5	60759700	60762500	126766.0	5526.0
chr7	102474700	102686400	4193357.0	2068806.0
chr12	371800	422400	340880.0	154493.0
chrX	6933400	6938700	14850.0	7903.0
chr18	79013800	79040300	243570.0	104717.0
chrX	143352000	143356500	15405.0	7815.0
chrX	55180400	55184500	520957.0	10822.0
chr11	518900	520700	11340.0	6176.0
chr11	584400	586500	15003.0	4324.0
chr19	0	271200	3374880.0	1481246.0
chr5	177636700	177684700	381757.0	207622.0
chr3	138575800	138595900	114339.0	63074.0
chr18	76966200	76968500	44964.0	24090.0
chr12	131576000	131589700	216248.0	110155.0
chr18	74615900	74618100	37576.0	19969.0
chr19	8740100	8800500	3044885.0	942852.0
chr3	198099800	198295500	1605344.0	703079.0
chr14	37351000	37356700	20198.0	10524.0
chr7	65488000	65496500	245079.0	42030.0
chr11	28206300	28236700	142094.0	76907.0
chr5	25381400	25384300	17656.0	8903.0
chr5	34177900	34244800	1451104.0	671584.0
chr4	166554300	166581300	204445.0	68063.0
chr10	38782600	38967900	8506173.0	1193149.0
chr6	256500	382800	1187080.0	556160.0
chr11	70370400	70372400	29847.0	11617.0
chrX	78802400	78804500	11059.0	5685.0
chr5	178584600	178586600	55302.0	5776.0
chr8	143641400	143670500	222641.0	118268.0
chr19	44393300	44416700	233068.0	87067.0
chr18	0	64600	658748.0	300545.0
chrX	110816700	110833400	46383.0	25510.0
chr7	152375800	152435100	654701.0	327451.0
chrX	10785000	10809700	79952.0	44189.0
chr8	88685900	88691700	9285.0	4850.0
chr18	79617800	79621500	232152.0	125996.0
chrX	93618000	93633400	49858.0	27077.0
chr3	36987500	36995000	54663.0	30338.0
chrX	71978800	71980500	5428.0	2962.0
chr14	23033300	23098600	396738.0	215748.0
chr12	0	77800	1566942.0	767670.0
chr19	47903000	47959700	1087201.0	100939.0
chr3	195775500	195791400	199572.0	98916.0
chr3	38406100	38430900	122373.0	67936.0
chr22	11976900	15154400	12155613.0	4327081.0
chr6	170376900	170401000	294772.0	129378.0
chrX	80534100	80537000	4540.0	2266.0
chrX	79765500	79789600	62136.0	34113.0
chr5	74685400	74712400	136730.0	72487.0
chr2	226108500	226110400	10703.0	5395.0
chrX	97509600	97515000	16352.0	8638.0
chr4	162420500	162422400	144651.0	4504.0
chr5	111302100	111308300	12801.0	6805.0
chr14	26629300	26634900	16362.0	8677.0
chrX	117874100	117880000	17482.0	8833.0
chr8	75444100	75448200	5267.0	2739.0
chr2	242110100	242193500	1018202.0	463530.0
chr11	0	194500	1810305.0	686066.0
chr1	125130200	143562200	56144810.0	4616346.0
chr9	43263100	61518900	16259849.0	7298673.0
chr18	971000	976500	17776.0	8754.0
chr16	34272000	34633100	47945367.0	1341255.0
chr3	161001900	161014100	52601.0	28224.0
chr3	171626600	171637700	40466.0	22126.0
chrX	153251200	153316400	350690.0	192101.0
chr4	55327200	55329200	142141.0	6192.0
chr7	57485300	57497800	1201718.0	161842.0
chr3	39366700	39386000	100845.0	55307.0
chrX	116557600	116595600	1751.0	916.0
chr7	0	49600	627586.0	326020.0
chr15	30066300	30627500	6440090.0	3220199.0
chr6	103709000	103715100	16311.0	8384.0
chr6	157309500	157324800	530895.0	293574.0
chr5	146610000	146615500	4169.0	2132.0
chr3	187893900	187896100	3457.0	1848.0
chrX	30767800	30772600	12850.0	6548.0
chr4	40291700	40318200	196734.0	107831.0
chr5	161606000	161611700	16631.0	8193.0
chr15	72635200	72687100	822568.0	412063.0
chr6	156035300	156040100	2459.0	1382.0
chrX	131152200	131157400	16294.0	8463.0
chr6	61573200	61575100	294856.0	11380.0
chr5	3322100	3325100	87105.0	48111.0
chr5	63320900	63335500	59625.0	33510.0
chr5	78848400	78872800	110763.0	59730.0
chr3	0	11600	93509.0	36283.0
chr9	41492300	41635600	2734430.0	1547330.0
chr14	88443700	88458100	60522.0	33515.0
chr3	29993900	29999900	24993.0	13006.0
chr3	75630100	75707800	1171993.0	456566.0
chr2	112346200	112441300	1876688.0	998038.0
chr3	156279000	156283500	10079.0	5214.0
chr14	105616500	105618600	22875.0	11874.0
chr4	0	69200	1076426.0	590580.0
chrX	103851800	103897800	151706.0	83255.0
chr3	160941200	160948700	229396.0	20761.0
chr5	45522900	45525200	8204.0	4254.0
chr14	0	18670900	8590201.0	3475312.0
chr3	51457800	51462000	13041.0	6645.0
chr3	21983200	21988100	11178.0	5804.0
chr3	69475300	69479700	16998.0	8497.0
chr15	28304900	28683400	6437809.0	3384558.0
chrX	51427500	51432400	14751.0	7886.0
chr3	49671000	49696700	268815.0	143595.0
chr7	45251000	45253000	297547.0	6253.0
chr6	861500	864200	12066.0	6030.0
chrX	723800	739500	127755.0	45679.0
chr1	125067600	125086000	973037.0	167870.0
chrX	131378300	131383300	12451.0	6684.0
chr10	42279400	42322500	3107077.0	345849.0
chrX	86046600	86076600	109534.0	60333.0
chr3	192739300	192742700	4061.0	2187.0
chr3	106975900	106979600	7346.0	3595.0
chr3	15187200	15207800	104217.0	57099.0
chr13	16226300	18171400	20583087.0	10875205.0
chr3	195477900	195507300	546851.0	209832.0
chr17	0	137600	712190.0	317119.0
chr14	46865300	46866500	3754.0	2062.0
chrX	67311800	67323800	47897.0	26534.0
chrX	142478000	142483800	7807.0	4034.0
chr15	77698600	77700600	27673.0	14796.0
chr14	31793800	31798100	6694.0	2887.0
chr17	1061500	1066100	184627.0	98781.0
chrX	5481200	5486100	9804.0	5207.0
chr3	90156400	90175500	70663.0	39096.0
chrX	137436600	137439300	71109.0	18464.0
chrX	111416100	111418000	51707.0	3853.0
chr6	170145300	170147200	18557.0	10159.0
chrX	91332900	91336600	14510.0	7425.0
chr14	32483400	32486000	696860.0	7443.0
chr8	59168700	59170400	2471.0	1377.0
chr9	108502000	108506600	13682.0	7414.0
chr16	34061400	34121400	2981366.0	552247.0
chr12	34715400	37269100	10061975.0	5175234.0
chr12	133249000	133275300	91250.0	50065.0
chrX	82849700	82859300	32692.0	17903.0
chr2	130496800	130716400	2507127.0	1348813.0
chr6	39455800	39460500	8530.0	4636.0
chr1	161423100	161472400	2561474.0	1342569.0
chr5	153071100	153077000	9695.0	4927.0
chr3	176828700	176833000	18948.0	9534.0
chr19	7449400	7452000	198905.0	28867.0
chr3	168012100	168016800	14898.0	7107.0
chr10	0	45700	367002.0	178889.0
